u_id,tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
afgzaagzmx,hsosiodvwzkhpqw,50,5,43388,86184,1,0,1,23,Male,City,UG,Science,1111,10001111,afgzaagzmx
afgzaagzmx,fctsgjogsvcvhqe,50,5,12633,4264,2,0,1,23,Male,City,UG,Science,1111,10001111,afgzaagzmx
afgzaagzmx,maljzpawqpbaspf,21,3,3584,77822,3,1,0,23,Male,City,UG,Science,1111,10001111,afgzaagzmx
akgeqaylkz,nolphttragtcxwk,31,0,31475,12308,1,1,0,23,Male,City,PG,MassComm,11000,11111000,akgeqaylkz
akgeqaylkz,uokaeujkhpcgsrh,51,1,3213,4301,2,1,0,23,Male,City,PG,MassComm,11000,11111000,akgeqaylkz
akgeqaylkz,tavwivnvroayaza,10,3,5262,5171,3,0,1,23,Male,City,PG,MassComm,11000,11111000,akgeqaylkz
amntcxnoec,pezrdxhstgkwvvm,40,3,40438,62174,1,0,1,23,Female,Town,UG,Science,1110,11000111,amntcxnoec
amntcxnoec,ztqefdsmcyeomkq,31,4,5969,26573,2,1,0,23,Female,Town,UG,Science,1110,11000111,amntcxnoec
amntcxnoec,qthwhvfadiyqchw,0,5,14826,24226,3,0,1,23,Female,Town,UG,Science,1110,11000111,amntcxnoec
bbpoqlzsaw,aosvjedwqbadofa,20,0,3506,35254,1,0,1,22,Male,City,UG,Science,1010,10011011,bbpoqlzsaw
bbpoqlzsaw,ucezliupvkgtcdc,11,1,5680,14971,2,1,0,22,Male,City,UG,Science,1010,10011011,bbpoqlzsaw
bbpoqlzsaw,jjtangitbkxdrbr,50,5,2395,616681,3,0,1,22,Male,City,UG,Science,1010,10011011,bbpoqlzsaw
cfsyxptmdq,fvgmefiasewzffo,50,3,40559,223512,1,0,1,22,Female,Town,PG,MassComm,1011,11000011,cfsyxptmdq
cfsyxptmdq,oedkwsnhboktmxn,41,1,4627,137899,2,1,0,22,Female,Town,PG,MassComm,1011,11000011,cfsyxptmdq
cfsyxptmdq,zvmugbbgqabwjpb,1,5,15627,99289,3,1,0,22,Female,Town,PG,MassComm,1011,11000011,cfsyxptmdq
dtrxiectso,npoqtnxvnscpjww,10,0,21954,26310,1,0,1,20,Male,Town,UG,Science,1100,11100011,dtrxiectso
dtrxiectso,detiqpmgoxiwkkf,41,4,13471,27601,2,1,0,20,Male,Town,UG,Science,1100,11100011,dtrxiectso
dtrxiectso,xpjptoyzfgkzyuc,20,5,7085,51969,3,0,1,20,Male,Town,UG,Science,1100,11100011,dtrxiectso
dunfidzodm,erhyvwfazbpwxry,50,0,27368,4997,1,0,1,22,Male,Village,UG,MassComm,11010,10100010,dunfidzodm
dunfidzodm,pfqauxuvjcyisiy,10,5,9699,2017,2,0,1,22,Male,Village,UG,MassComm,11010,10100010,dunfidzodm
dunfidzodm,kjqexxqxlxuocmq,1,3,3566,2025,3,1,0,22,Male,Village,UG,MassComm,11010,10100010,dunfidzodm
duufpiwmvo,kdkpavjrdclevsu,31,5,19106,10738,1,1,0,22,Male,City,UG,Science,1111,10011001,duufpiwmvo
duufpiwmvo,wndyvduysvsgszr,50,1,3315,5649,2,0,1,22,Male,City,UG,Science,1111,10011001,duufpiwmvo
duufpiwmvo,jzghomybumudsre,21,3,4619,1915,3,1,0,22,Male,City,UG,Science,1111,10011001,duufpiwmvo
