u_id,age,gender,residence,edu_level,edu_stream,news_source,news_interest
dtrxiectso,20,Male,Town,UG,Science,01100,11100011
euolxnylrb,20,Male,City,UG,Science,01000,01100110
ueurccysmb,21,Male,Town,UG,Science,11001,11101111
tymzdiwyse,22,Male,Town,UG,Science,11111,11111011
bbpoqlzsaw,22,Male,City,UG,Science,01010,10011011
mwhtkfzhsc,21,Female,City,UG,Science,00010,11111111
rivbzweutm,19,Male,City,UG,Science,11011,11101011
irntchdwnd,21,Male,City,UG,Science,01010,00111011
ydscsrcrdb,20,Female,City,UG,Science,01010,01000111
duufpiwmvo,22,Male,City,UG,Science,01111,10011001
makhzyiaku,20,Male,City,UG,Science,00100,11000011
afgzaagzmx,23,Male,City,UG,Science,01111,10001111
slmwyruwyc,23,Male,City,UG,Science,01111,10001111
gtdxwvuwss,21,Male,City,UG,Science,01100,10111001
wcycjnjwqd,23,Male,City,UG,Science,00000,00000000
wazzkyivit,21,Male,City,UG,Science,00010,10000011
ktdensgpmu,21,Female,City,PG,Science,11111,00010011
mkzwciwjnw,23,Female,City,UG,Science,01111,11100111
mlldgdnuld,21,Female,City,PG,MassComm,11111,10010011
jhdvhmzcox,22,Female,City,PG,MassComm,10110,11100111
mvbugsttuk,23,Male,City,PG,MassComm,10101,10111000
entzuybqcy,22,Female,City,PG,MassComm,01100,01010100
jmxsslgzsb,23,Male,Village,PG,MassComm,10000,10001011
jgrhnhofap,24,Male,City,UG,MassComm,11110,10101110
hgsyhryazv,24,Female,City,PG,MassComm,11111,11010011
pitkjvomhs,23,Female,City,PG,MassComm,01010,01000111
ljfswgecxb,24,Male,City,PG,MassComm,10101,10010011
msddboexac,21,Female,City,PG,MassComm,11111,11010111
ufldwtcwrf,21,Female,City,PG,MassComm,11010,11100000
gdoephlubd,23,Female,City,PG,MassComm,11010,10000111
vjcggnyvlz,23,Male,City,PG,MassComm,01000,11100000
zlfqltfgkt,21,Male,City,PG,MassComm,01010,10100011
zeqyleyefr,20,Female,Town,PG,MassComm,11000,11000111
dunfidzodm,22,Male,Village,UG,MassComm,11010,10100010
eukjgvrjsu,22,Male,City,PG,MassComm,11111,11011010
xsoobrcbgf,22,Female,City,PG,MassComm,11000,01000100
akgeqaylkz,23,Male,City,PG,MassComm,11000,11111000
radicdrlao,22,Male,Town,PG,MassComm,01010,10010110
lbprieypiq,23,Female,City,PG,MassComm,11000,11000000
cfsyxptmdq,22,Female,Town,PG,MassComm,01011,11000011
mqxbdnjfdx,21,Female,City,PG,MassComm,11101,11001111
lbunehplfe,25,Male,City,PG,MassComm,10010,10000001
emcdpygcno,24,Male,City,PG,MassComm,01110,10110000
exvqbhcpqn,24,Male,Town,PG,MassComm,11110,11111000
wkxyikxqcr,24,Male,City,PG,MassComm,11110,11110000
okgpcxzntc,23,Male,Town,PG,MassComm,11111,10000000
iqvqbamanh,22,Female,City,PG,MassComm,11010,10001111
qqtllbvyyf,22,Female,City,PG,MassComm,10000,10000010
lwneooztxl,23,Female,City,PG,MassComm,11110,11000100
yvliqtdhub,24,Female,Town,PG,MassComm,11111,11010000
rxoldcztkx,28,Male,City,PG,MassComm,10000,10011011
sjgsqxiwdm,22,Female,City,PG,MassComm,11111,11010011
dzkftljraq,21,Male,City,UG,Science,00100,01100011
uddhkahpsd,21,Male,City,UG,Science,01110,10111001
jtcirquqlh,21,Male,Town,UG,Science,01111,11100011
kwqaluxnvc,23,Male,City,UG,Science,01111,11011111
hotosvyxyd,21,Male,City,UG,Science,11011,11101001
josickrldy,"22",Female,City,UG,MassComm,01010,11100101
sovpwfmetq,21,Male,Town,UG,Science,01000,11010011
zipsbyluqs,20,Male,City,UG,Science,01100,01100000
seteknzmzt,20,Female,City,UG,Science,11111,10011011
pjfwmstwaw,23,Male,City,UG,Science,01101,10000011
nbltmambmh,19,Male,City,UG,Science,00100,11010001
mhmwdzvuyq,22,Male,City,UG,Science,01110,10010001
amntcxnoec,23,Female,Town,UG,Science,01110,11000111
dylccmkghy,24,Male,City,PG,Science,01100,10011011
hlopznrqcz,22,Male,City,UG,Science,11110,10100011
hevmvbbnuh,21,Male,Village,UG,Science,01001,01100111
ikyovfdtne,22,Female,City,UG,Science,01110,10000111
frdivxtgcp,22,Male,City,UG,Science,00010,00011001
