tran_id,u_id,article_id,position,time_before_click,time_on_page,sequence
ppjbiuvuuskfufp,mlldgdnuld,20,0,1524,49136,1
gqscyxuvdlvmauy,mlldgdnuld,31,1,14785,81490,2
hhuamfygxslassw,mlldgdnuld,10,2,6397,85493,3
uquketvxmsexvyt,jhdvhmzcox,20,2,35261,14011,1
ukrjwyxsbmnrzqw,jhdvhmzcox,20,2,11325,27663,2
vdqiranayngawnf,jhdvhmzcox,30,5,10489,76712,3
gapplgryizhngbj,mvbugsttuk,10,0,12821,5597,1
evtijxcdkdjffwm,entzuybqcy,30,0,16870,65264,1
eeylqzujuvkdfpl,mvbugsttuk,20,1,3565,3818,2
vpabiduqzfttbwc,jmxsslgzsb,40,1,9038,4256,1
fmpnfaguksgzpus,mvbugsttuk,41,5,5190,4512,3
iiogtmwmnxwlrca,entzuybqcy,41,4,7837,54963,2
vcxpbhfuluszidd,entzuybqcy,00,5,4182,33747,3
okwuybkqpewwjjf,jmxsslgzsb,50,5,3107,2169,2
hetalxwsyzfpmju,jmxsslgzsb,40,1,811,1623,3
jklnoywnfqthbga,jgrhnhofap,01,5,14723,13440,1
gpgsgooubionvlr,jgrhnhofap,21,1,30162,28685,2
cxovplamyhbkxnh,hgsyhryazv,10,3,19345,44901,1
pmtthpaenetsssf,jgrhnhofap,40,2,4149,65834,3
qyotbxcurzuqmii,hgsyhryazv,31,4,5518,44469,2
kqvbojgkvjpyelv,hgsyhryazv,40,5,2990,27070,3
slffaxkiesittmn,pitkjvomhs,20,0,24464,32108,1
rgxethtrmofevjy,pitkjvomhs,51,3,3813,3413,2
dbcpslvtaddloox,pitkjvomhs,30,5,9134,11782,3
sogvpiahxhafrzk,ljfswgecxb,31,2,12735,4210,1
kufkhcqxsyqosiw,msddboexac,41,0,28565,8039,1
bfvivmfbworzfbx,ljfswgecxb,11,3,16870,3053,2
ydgljvguggpxtid,msddboexac,21,1,8434,10668,2
yjpbhxbcnypmgei,ljfswgecxb,21,4,4465,2617,3
ngaqjqwpigzmgib,msddboexac,10,2,4053,4213,3
pqteuchpueglyws,gdoephlubd,41,0,7341,99761,1
bpzndcxquaqtpzw,ufldwtcwrf,21,1,29000,51662,1
gtfccvxvkcyhefi,gdoephlubd,20,1,1800,137316,2
lsffxzybkzdcdnm,ufldwtcwrf,40,2,5399,32222,2
dlsdxclfbzzpggv,ufldwtcwrf,51,3,8875,31024,3
tfsyzsjqypmtztg,gdoephlubd,51,2,28385,111934,3
eophkhsdenjopgd,vjcggnyvlz,20,3,11405,2950,1
fpbcffwcnvqscvs,vjcggnyvlz,51,4,4606,2666,2
kamrdalsnfadhhn,vjcggnyvlz,30,5,3743,2096,3
ismljnfktritgax,zlfqltfgkt,41,5,15921,5375,1
