u_id,age,gender,residence,edu_level,edu_stream,news_source,news_interest
mlldgdnuld,21,Female,City,PG,"Media and Mass Communication",11111,10010011
jhdvhmzcox,22,Female,City,PG,"Media and Mass Communication",10110,11100111
mvbugsttuk,23,Male,City,PG,"Media and Mass Communication",10101,10111000
entzuybqcy,22,Female,City,PG,"Media and Mass Communication",01100,01010100
jmxsslgzsb,22,Male,Village,PG,"Humanities and Social Sciences",10000,10001011
jgrhnhofap,24,Male,City,UG,"Humanities and Social Sciences",11110,10101110
hgsyhryazv,24,Female,City,PG,"Humanities and Social Sciences",11111,11010011
pitkjvomhs,23,Female,City,PG,"Media and Mass Communication",01010,01000111
ljfswgecxb,24,Male,City,PG,"Media and Mass Communication",10101,10010011
msddboexac,21,Female,City,PG,"Media and Mass Communication",11111,11010111
ufldwtcwrf,21,Female,City,PG,"Media and Mass Communication",11010,11100000
gdoephlubd,23,Female,City,PG,"Media and Mass Communication",11010,10000111
vjcggnyvlz,23,Male,City,PG,"Media and Mass Communication",01000,11100000
zlfqltfgkt,21,Male,City,PG,"Media and Mass Communication",01010,10100011
zeqyleyefr,20,Female,Town,PG,"Media and Mass Communication",11000,11000111
dunfidzodm,22,Male,Village,UG,"Media and Mass Communication",11010,10100010
eukjgvrjsu,22,Male,City,PG,"Media and Mass Communication",11111,11011010
xsoobrcbgf,22,Female,City,PG,"Media and Mass Communication",11000,01000100
akgeqaylkz,23,Male,City,PG,"Media and Mass Communication",11000,11111000
radicdrlao,22,Male,Town,PG,"Media and Mass Communication",01010,10010110
lbprieypiq,23,Female,City,PG,"Media and Mass Communication",11000,11000000
cfsyxptmdq,22,Female,Town,PG,"Media and Mass Communication",01011,11000011
mqxbdnjfdx,21,Female,City,PG,"Media and Mass Communication",11101,11001111
lbunehplfe,25,Male,City,PG,"Media and Mass Communication",10010,10000001
emcdpygcno,24,Male,City,PG,"Humanities and Social Sciences",01110,10110000
exvqbhcpqn,23,Male,Town,PG,"Media and Mass Communication",11110,11111000
wkxyikxqcr,24,Male,City,PG,"Media and Mass Communication",11110,11110000
okgpcxzntc,23,Male,Town,PG,"Humanities and Social Sciences",11111,10000000
