u_id,age,gender,residence,edu_level,edu_stream,news_source,news_interest
dtrxiectso,20,Male,Town,UG,Science,01100,11100011
euolxnylrb,20,Male,City,UG,Science,01000,01100110
ueurccysmb,21,Male,Town,UG,Science,11001,11101111
tymzdiwyse,22,Male,Town,UG,Science,11111,11111011
bbpoqlzsaw,22,Male,City,UG,Science,01010,10011011
mwhtkfzhsc,21,Female,City,UG,Science,00010,11111111
rivbzweutm,19,Male,City,UG,Science,11011,11101011
irntchdwnd,21,Male,City,UG,Science,01010,00111011
ydscsrcrdb,20,Female,City,UG,Science,01010,01000111
duufpiwmvo,22,Male,City,UG,Science,01111,10011001
makhzyiaku,20,Male,City,UG,Science,00100,11000011
afgzaagzmx,23,Male,City,UG,Science,01111,10001111
slmwyruwyc,23,Male,City,UG,Science,01111,10001111
gtdxwvuwss,21,Male,City,UG,Science,01100,10111001
wcycjnjwqd,23,Male,City,UG,Science,00000,00000000
wazzkyivit,21,Male,City,UG,Science,00010,10000011
ktdensgpmu,21,Female,City,PG,Science,11111,00010011
mkzwciwjnw,23,Female,City,UG,Science,01111,11100111
